year,decade,song,artist,weeks_at_no1_this_year,song_clean,artist_clean,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,loudness
1995,1990,Fantasy,Mariah Carey,8,fantasy,mariah carey,0.671,0.7269999999999999,0.801,102.358,0.139,0.035,0.0,0.123,-7.585
1996,1990,Macarena (Bayside Boys Mix),Los Del Rio,14,macarena (bayside boys mix),los del rio,,,,,,,,,
1997,1990,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,12,candle in the wind 1997/something about the way you look tonight,elton john,,,,,,,,,
1998,1990,The Boy Is Mine,Brandy & Monica,13,the boy is mine,brandy & monica,0.7039999999999998,0.7069999999999999,0.761,93.145,0.539,0.0391,0.00106,0.318,-6.537
1999,1990,Smooth,Santana Featuring Rob Thomas,10,smooth,santana featuring rob thomas,0.6089999999999999,0.923,0.961,115.996,0.16,0.0338,5e-06,0.2949999999999999,-3.908
2000,2000,Maria Maria,Santana Featuring The Product G&B,10,maria maria,santana featuring the product g&b,0.777,0.6009999999999999,0.68,97.911,0.0406,0.126,0.00201,0.0348,-5.931
2001,2000,All For You,Janet,7,all for you,janet,0.774,0.881,0.775,113.511,0.0107,0.0917,0.0431,0.2889999999999999,-4.681
2002,2000,Foolish,Ashanti,10,foolish,ashanti,0.4769999999999999,0.7279999999999999,0.69,89.209,0.3579999999999999,0.0830999999999999,0.0,0.11,-5.71
2003,2000,In Da Club,50 Cent,9,in da club,50 cent,0.8649999999999999,0.73,0.808,90.096,0.2829999999999999,0.373,0.0,0.0753,-2.813
2004,2000,Yeah!,Usher Featuring Lil Jon & Ludacris,12,yeah!,usher featuring lil jon & ludacris,0.894,0.791,0.5829999999999999,105.018,0.0183,0.112,0.0,0.0388,-4.699
2005,2000,We Belong Together,Mariah Carey,14,we belong together,mariah carey,0.8379999999999999,0.4689999999999999,0.778,139.975,0.0358,0.0835,0.0,0.0928,-7.992
2006,2000,SexyBack,Justin Timberlake,7,sexyback,justin timberlake,0.967,0.5829999999999999,0.964,117.0,0.0584,0.0789,0.0,0.0519,-5.562
2007,2000,Umbrella,Rihanna Featuring Jay-Z,7,umbrella,rihanna featuring jay-z,0.5829999999999999,0.8289999999999998,0.5749999999999998,174.028,0.00864,0.134,0.0,0.0426,-4.603
2008,2000,Low,Flo Rida Featuring T-Pain,10,low,flo rida featuring t-pain,0.918,0.6089999999999999,0.3039999999999999,128.008,0.0928,0.0791,0.0,0.139,-5.64
2009,2000,I Gotta Feeling,The Black Eyed Peas,14,i gotta feeling,the black eyed peas,0.7409999999999999,0.748,0.6,127.965,0.0823,0.0264,0.0,0.34,-6.299
2010,2010,TiK ToK,Ke$ha,9,tik tok,ke$ha,,,,,,,,,
2011,2010,We Found Love,Rihanna Featuring Calvin Harris,8,we found love,rihanna featuring calvin harris,0.7339999999999999,0.766,0.6,127.986,0.025,0.0383,0.00138,0.108,-4.485
2012,2010,Call Me Maybe,Carly Rae Jepsen,9,call me maybe,carly rae jepsen,0.778,0.5849999999999999,0.626,120.069,0.0123,0.0435,0.0,0.108,-6.502
2013,2010,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,12,blurred lines,robin thicke featuring t.i. + pharrell,0.8619999999999999,0.6079999999999999,0.8359999999999999,120.002,0.00373,0.0402,6e-06,0.0855999999999999,-4.762
2014,2010,Happy,Pharrell Williams,10,happy,pharrell williams,0.647,0.822,0.962,160.019,0.219,0.183,0.0,0.0908,-4.662
2015,2010,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14,uptown funk!,mark ronson featuring bruno mars,0.8559999999999999,0.6089999999999999,0.928,114.988,0.00801,0.0824,8.2e-05,0.0344,-7.223
2016,2010,Closer,The Chainsmokers Featuring Halsey,12,closer,the chainsmokers featuring halsey,0.748,0.524,0.661,95.01,0.4139999999999999,0.0338,0.0,0.111,-5.599
2017,2010,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,16,despacito,luis fonsi & daddy yankee featuring justin bieber,0.653,0.816,0.816,178.086,0.228,0.167,0.0,0.0967,-4.353
2018,2010,God's Plan,Drake,11,god's plan,drake,0.754,0.449,0.3569999999999999,77.16899999999998,0.0332,0.109,8.3e-05,0.552,-9.211
2019,2010,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,19,old town road,lil nas x featuring billy ray cyrus,0.878,0.6189999999999999,0.639,136.041,0.0533,0.1019999999999999,0.0,0.113,-5.56
2020,2020,The Box,Roddy Ricch,11,the box,roddy ricch,0.896,0.5859999999999999,0.642,116.971,0.104,0.0559,0.0,0.79,-6.687
2021,2020,Butter,BTS,10,butter,bts,,,,,,,,,
